Exchange Date,Close,Volume,Net,%Chg,Open,Low,High
26-Jul-2019,"1,418.3100",,+4.1800,+0.2956%,"1,414.2000","1,413.3800","1,424.4100"
25-Jul-2019,"1,414.1300",,-11.6700,-0.8185%,"1,426.2000","1,410.7700","1,433.4600"
24-Jul-2019,"1,425.8000",,+8.8100,+0.6217%,"1,417.1600","1,416.1000","1,429.2000"
23-Jul-2019,"1,416.9900",,-7.7300,-0.5426%,"1,424.7500","1,413.8000","1,428.8500"
22-Jul-2019,"1,424.7200",,-0.1900,-0.0133%,"1,424.7500","1,421.9500","1,429.4255"
19-Jul-2019,"1,424.9100",,-21.0900,-1.4585%,"1,446.0000","1,419.9000","1,452.6000"
18-Jul-2019,"1,446.0000",,+19.4000,+1.3599%,"1,426.6000","1,414.3600","1,448.0000"
17-Jul-2019,"1,426.6000",,+20.6700,+1.4702%,"1,406.2100","1,399.7500","1,426.8000"
16-Jul-2019,"1,405.9300",,-7.7500,-0.5482%,"1,414.2900","1,400.7800","1,418.0283"
15-Jul-2019,"1,413.6800",,-1.8150,-0.1282%,"1,415.5000","1,407.3600","1,419.3500"
12-Jul-2019,"1,415.4950",,+11.8950,+0.8475%,"1,403.6000","1,402.8100","1,416.6281"
11-Jul-2019,"1,403.6000",,-15.2000,-1.0713%,"1,419.0000","1,401.2000","1,426.0000"
10-Jul-2019,"1,418.8000",,+21.0000,+1.5024%,"1,397.6000","1,389.5500","1,419.0000"
09-Jul-2019,"1,397.8000",,+2.6000,+0.1864%,"1,395.2000","1,386.1100","1,399.8000"
08-Jul-2019,"1,395.2000",,-4.3500,-0.3108%,"1,399.6500","1,391.4500","1,407.6000"
05-Jul-2019,"1,399.5500",,-15.6400,-1.1052%,"1,415.4100","1,386.5200","1,423.9561"
04-Jul-2019,"1,415.1900",,-3.3500,-0.2362%,"1,419.3450","1,410.1300","1,421.5428"
03-Jul-2019,"1,418.5400",,+0.3451,+0.0243%,"1,419.5500","1,412.0800","1,435.9872"
02-Jul-2019,"1,418.1949",,+34.1300,+2.4659%,"1,383.1500","1,383.1500","1,419.4700"
01-Jul-2019,"1,384.0649",,-25.0351,-1.7767%,"1,392.5800","1,381.5100","1,397.3100"
28-Jun-2019,"1,409.1000",,-0.1800,-0.0128%,"1,409.1600","1,406.4100","1,424.2427"
27-Jun-2019,"1,409.2800",,+0.9300,+0.0660%,"1,409.1600","1,399.8500","1,411.5995"
26-Jun-2019,"1,408.3500",,-14.5000,-1.0191%,"1,423.5100","1,401.9800","1,423.6550"
25-Jun-2019,"1,422.8500",,+3.7000,+0.2607%,"1,418.7700","1,411.9000","1,438.6300"
24-Jun-2019,"1,419.1500",,+20.5000,+1.4657%,"1,400.9500","1,400.0800","1,420.9005"
21-Jun-2019,"1,398.6500",,+10.8700,+0.7833%,"1,387.8200","1,382.0000","1,410.7800"
20-Jun-2019,"1,387.7800",,+27.9100,+2.0524%,"1,359.9600","1,357.4000","1,392.8448"
19-Jun-2019,"1,359.8700",,+13.7900,+1.0245%,"1,346.1600","1,340.7500","1,362.1000"
18-Jun-2019,"1,346.0800",,+6.7950,+0.5074%,"1,339.6900","1,338.2500","1,354.2035"
17-Jun-2019,"1,339.2850",,-2.0450,-0.1525%,"1,341.6600","1,332.4500","1,343.1252"
14-Jun-2019,"1,341.3300",,-0.6200,-0.0462%,"1,341.3000","1,337.5800","1,358.0380"
13-Jun-2019,"1,341.9500",,+8.7900,+0.6593%,"1,333.6000","1,331.8700","1,343.0313"
12-Jun-2019,"1,333.1600",,+6.4975,+0.4898%,"1,326.3900","1,325.8000","1,338.2345"
11-Jun-2019,"1,326.6625",,-1.0675,-0.0804%,"1,328.0100","1,319.3500","1,329.8130"
10-Jun-2019,"1,327.7300",,-12.5700,-0.9378%,"1,335.5600","1,324.5000","1,337.4351"
07-Jun-2019,"1,340.3000",,+5.5000,+0.4120%,"1,335.2000","1,329.6800","1,348.0823"
06-Jun-2019,"1,334.8000",,+5.0200,+0.3775%,"1,331.6100","1,327.0500","1,339.6830"
05-Jun-2019,"1,329.7800",,+4.9000,+0.3698%,"1,325.1000","1,324.2000","1,343.8646"
04-Jun-2019,"1,324.8800",,+0.1100,+0.0083%,"1,324.6500","1,319.5800","1,328.9764"
03-Jun-2019,"1,324.7700",,+19.5200,+1.4955%,"1,307.1450","1,306.3000","1,327.9000"
31-May-2019,"1,305.2500",,+16.7500,+1.3000%,"1,287.9500","1,287.6900","1,306.6406"
30-May-2019,"1,288.5000",,+9.3000,+0.7270%,"1,279.3600","1,274.4400","1,288.8719"
29-May-2019,"1,279.2000",,+0.1400,+0.0109%,"1,279.3149","1,278.4700","1,285.3660"
28-May-2019,"1,279.0600",,-5.7400,-0.4468%,"1,285.1500","1,275.6300","1,286.4230"
27-May-2019,"1,284.8000",,+0.1550,+0.0121%,"1,285.4000","1,283.4000","1,287.3184"
24-May-2019,"1,284.6450",,+1.5950,+0.1243%,"1,283.1500","1,280.2000","1,285.1730"
23-May-2019,"1,283.0500",,+9.6850,+0.7606%,"1,273.4000","1,272.1800","1,287.2255"
22-May-2019,"1,273.3650",,-1.3600,-0.1067%,"1,274.3600","1,271.9000","1,277.1750"
21-May-2019,"1,274.7250",,-2.7700,-0.2168%,"1,277.7000","1,268.9700","1,277.8116"
20-May-2019,"1,277.4950",,+0.3450,+0.0270%,"1,277.5450","1,273.2200","1,278.8933"
17-May-2019,"1,277.1500",,-9.2500,-0.7191%,"1,286.1000","1,274.5100","1,288.8943"
16-May-2019,"1,286.4000",,-10.0150,-0.7725%,"1,296.5000","1,283.7000","1,298.6710"
15-May-2019,"1,296.4150",,-0.3600,-0.0278%,"1,296.9200","1,292.4500","1,300.7727"
14-May-2019,"1,296.7750",,-2.8800,-0.2216%,"1,299.8600","1,293.0800","1,303.2581"
13-May-2019,"1,299.6550",,+14.0550,+1.0933%,"1,286.3100","1,281.3500","1,301.0952"
10-May-2019,"1,285.6000",,+1.8600,+0.1449%,"1,283.9600","1,282.8100","1,289.3282"
09-May-2019,"1,283.7400",,+3.2100,+0.2507%,"1,280.0900","1,279.0100","1,288.1210"
08-May-2019,"1,280.5300",,-3.7700,-0.2935%,"1,283.7600","1,278.9500","1,291.3929"
07-May-2019,"1,284.3000",,+4.2250,+0.3301%,"1,280.7000","1,277.6500","1,285.8947"
06-May-2019,"1,280.0750",,+1.1351,+0.0888%,"1,280.8100","1,276.3500","1,285.5100"
03-May-2019,"1,278.9399",,+8.6499,+0.6809%,"1,270.3600","1,268.5600","1,282.4160"
02-May-2019,"1,270.2900",,-6.0650,-0.4752%,"1,276.5600","1,265.8500","1,277.9301"
01-May-2019,"1,276.3550",,-6.9950,-0.5451%,"1,283.2100","1,272.7400","1,286.9552"
30-Apr-2019,"1,283.3500",,+3.8000,+0.2970%,"1,279.7300","1,279.2900","1,286.1407"
29-Apr-2019,"1,279.5500",,-6.3000,-0.4899%,"1,286.1500","1,277.5300","1,286.5630"
26-Apr-2019,"1,285.8500",,+8.9000,+0.6970%,"1,277.0150","1,275.6500","1,288.5925"
25-Apr-2019,"1,276.9500",,+1.9900,+0.1561%,"1,275.2000","1,273.1000","1,282.3750"
24-Apr-2019,"1,274.9600",,+2.8100,+0.2209%,"1,271.9100","1,268.1500","1,278.3438"
23-Apr-2019,"1,272.1500",,-2.5250,-0.1981%,"1,275.0100","1,265.9000","1,276.4099"
22-Apr-2019,"1,274.6750",,-0.3350,-0.0263%,"1,275.5800","1,273.2000","1,279.7095"
18-Apr-2019,"1,275.0100",,+1.2700,+0.0997%,"1,272.9900","1,270.6300","1,277.5676"
17-Apr-2019,"1,273.7400",,-2.4300,-0.1904%,"1,276.4600","1,272.5300","1,279.6575"
16-Apr-2019,"1,276.1700",,-11.4650,-0.8904%,"1,287.5100","1,272.7000","1,288.6024"
15-Apr-2019,"1,287.6350",,-2.3650,-0.1833%,"1,290.2000","1,281.9600","1,291.7642"
12-Apr-2019,"1,290.0000",,-2.3450,-0.1815%,"1,291.9000","1,289.7100","1,295.6528"
11-Apr-2019,"1,292.3450",,-15.4500,-1.1814%,"1,307.7000","1,289.2000","1,309.1107"
10-Apr-2019,"1,307.7950",,+3.9100,+0.2999%,"1,303.7100","1,300.6400","1,310.5004"
09-Apr-2019,"1,303.8850",,+6.7200,+0.5181%,"1,296.9900","1,296.3000","1,306.0935"
08-Apr-2019,"1,297.1650",,+5.8650,+0.4542%,"1,291.4000","1,291.1000","1,303.6089"
05-Apr-2019,"1,291.3000",,-0.8250,-0.0638%,"1,292.0600","1,284.0600","1,293.3733"
04-Apr-2019,"1,292.1250",,+2.4700,+0.1915%,"1,289.7000","1,280.5900","1,294.1117"
03-Apr-2019,"1,289.6550",,-3.0950,-0.2394%,"1,291.9600","1,287.9500","1,294.4250"
02-Apr-2019,"1,292.7500",,+5.3350,+0.4144%,"1,287.1500","1,284.7600","1,292.7500"
01-Apr-2019,"1,287.4150",,-4.4850,-0.3472%,"1,291.0800","1,286.2500","1,296.7880"
29-Mar-2019,"1,291.9000",,+1.7500,+0.1356%,"1,289.8900","1,286.3500","1,299.5721"
28-Mar-2019,"1,290.1500",,-19.3100,-1.4747%,"1,309.4500","1,288.3000","1,312.2277"
27-Mar-2019,"1,309.4600",,-5.9600,-0.4531%,"1,315.4050","1,307.6600","1,319.1697"
26-Mar-2019,"1,315.4200",,-6.3800,-0.4827%,"1,321.4100","1,312.4100","1,323.1400"
25-Mar-2019,"1,321.8000",,+8.6700,+0.6603%,"1,312.9500","1,310.7000","1,324.3295"
22-Mar-2019,"1,313.1300",,+3.9250,+0.2998%,"1,308.8900","1,306.5600","1,314.8309"
21-Mar-2019,"1,309.2050",,-3.0300,-0.2309%,"1,312.3900","1,303.0000","1,320.2209"
20-Mar-2019,"1,312.2350",,+5.9350,+0.4543%,"1,305.3600","1,298.2500","1,316.5835"
19-Mar-2019,"1,306.3000",,+2.8500,+0.2187%,"1,303.2000","1,302.2000","1,310.8226"
18-Mar-2019,"1,303.4500",,+2.3200,+0.1783%,"1,301.3900","1,297.8700","1,306.5273"
15-Mar-2019,"1,301.1300",,+5.0975,+0.3933%,"1,295.4900","1,293.4100","1,306.3295"
14-Mar-2019,"1,296.0325",,-12.9975,-0.9929%,"1,309.3600","1,292.5000","1,310.2053"
13-Mar-2019,"1,309.0300",,+7.2700,+0.5585%,"1,301.7600","1,300.3100","1,311.0753"
12-Mar-2019,"1,301.7600",,+7.7600,+0.5997%,"1,293.4600","1,291.8100","1,301.9449"
11-Mar-2019,"1,294.0000",,-4.0100,-0.3089%,"1,298.4500","1,289.9000","1,299.0210"
08-Mar-2019,"1,298.0100",,+12.5150,+0.9736%,"1,285.5250","1,284.9000","1,300.6100"
07-Mar-2019,"1,285.4950",,-0.8650,-0.0672%,"1,286.4637","1,280.9100","1,288.8110"
06-Mar-2019,"1,286.3600",,-0.8201,-0.0637%,"1,287.2253","1,283.0500","1,290.6742"
05-Mar-2019,"1,287.1801",,+0.7651,+0.0595%,"1,286.4161","1,280.7000","1,289.4995"
04-Mar-2019,"1,286.4150",,-6.8973,-0.5333%,"1,293.3650","1,282.5000","1,296.8550"
01-Mar-2019,"1,293.3123",,-19.3477,-1.4739%,"1,312.5600","1,289.9100","1,315.0780"
28-Feb-2019,"1,312.6600",,-7.1400,-0.5410%,"1,319.8000","1,312.1500","1,327.0400"
27-Feb-2019,"1,319.8000",,-8.7600,-0.6594%,"1,328.8400","1,316.4300","1,329.5600"
26-Feb-2019,"1,328.5600",,+1.4999,+0.1130%,"1,327.0400","1,323.2100","1,330.1899"
25-Feb-2019,"1,327.0601",,-0.6499,-0.0489%,"1,328.5100","1,324.9700","1,332.5300"
22-Feb-2019,"1,327.7100",,+4.6000,+0.3477%,"1,323.4301","1,321.0800","1,333.0900"
21-Feb-2019,"1,323.1100",,-15.3000,-1.1431%,"1,338.5100","1,321.8600","1,341.4900"
20-Feb-2019,"1,338.4100",,-2.6700,-0.1991%,"1,341.1700","1,336.5500","1,346.7300"
19-Feb-2019,"1,341.0800",,+14.9300,+1.1258%,"1,325.8199","1,322.2400","1,341.7800"
18-Feb-2019,"1,326.1500",,+5.1400,+0.3891%,"1,321.2000","1,320.3600","1,327.6400"
15-Feb-2019,"1,321.0100",,+8.5300,+0.6499%,"1,312.5800","1,310.7600","1,322.5800"
14-Feb-2019,"1,312.4800",,+6.3600,+0.4869%,"1,306.0900","1,302.5600","1,314.3600"
13-Feb-2019,"1,306.1200",,-4.3900,-0.3350%,"1,310.8101","1,304.4300","1,318.1200"
12-Feb-2019,"1,310.5100",,+2.2500,+0.1720%,"1,308.1600","1,306.2600","1,314.7300"
11-Feb-2019,"1,308.2600",,-5.7300,-0.4361%,"1,314.1500","1,303.5100","1,314.8101"
08-Feb-2019,"1,313.9900",,+3.9600,+0.3023%,"1,310.0699","1,307.1500","1,315.6400"
07-Feb-2019,"1,310.0300",,+3.8800,+0.2971%,"1,305.8100","1,302.1100","1,311.9301"
06-Feb-2019,"1,306.1500",,-8.8000,-0.6692%,"1,314.9500","1,305.3000","1,315.8000"
05-Feb-2019,"1,314.9500",,+3.2601,+0.2485%,"1,311.6899","1,310.2400","1,316.8000"
04-Feb-2019,"1,311.6899",,-6.2402,-0.4735%,"1,317.4800","1,308.2000","1,318.7300"
01-Feb-2019,"1,317.9301",,-2.6299,-0.1992%,"1,320.8800","1,315.5900","1,323.5100"
31-Jan-2019,"1,320.5600",,+1.0500,+0.0796%,"1,319.8000","1,317.1600","1,326.3000"
30-Jan-2019,"1,319.5100",,+7.6500,+0.5831%,"1,311.8700","1,308.4100","1,323.3400"
29-Jan-2019,"1,311.8600",,+8.4000,+0.6444%,"1,303.4600","1,302.0500","1,311.9800"
28-Jan-2019,"1,303.4600",,+0.3200,+0.0246%,"1,303.4200","1,297.2000","1,304.4200"
25-Jan-2019,"1,303.1400",,+22.5800,+1.7633%,"1,280.8600","1,279.3100","1,303.6100"
24-Jan-2019,"1,280.5600",,-1.4500,-0.1131%,"1,282.3600","1,276.5900","1,284.7700"
23-Jan-2019,"1,282.0100",,-2.6300,-0.2047%,"1,284.9500","1,278.0000","1,286.5400"
22-Jan-2019,"1,284.6400",,+5.1100,+0.3994%,"1,279.3300","1,276.8500","1,285.4399"
21-Jan-2019,"1,279.5300",,-1.5800,-0.1233%,"1,281.0000","1,276.3100","1,283.5400"
18-Jan-2019,"1,281.1100",,-10.2900,-0.7968%,"1,291.8000","1,280.2500","1,292.4700"
17-Jan-2019,"1,291.4000",,-2.0399,-0.1577%,"1,293.4900","1,288.4600","1,295.3400"
16-Jan-2019,"1,293.4399",,+4.1999,+0.3258%,"1,289.0400","1,287.5000","1,294.9399"
15-Jan-2019,"1,289.2400",,-2.4499,-0.1897%,"1,291.6899","1,286.3000","1,294.6300"
14-Jan-2019,"1,291.6899",,+4.1899,+0.3254%,"1,287.1100","1,287.1100","1,295.8500"
11-Jan-2019,"1,287.5000",,+1.1801,+0.0917%,"1,286.2200","1,285.7500","1,295.1500"
10-Jan-2019,"1,286.3199",,-6.7301,-0.5205%,"1,293.0500","1,285.7500","1,297.0800"
09-Jan-2019,"1,293.0500",,+8.2000,+0.6382%,"1,285.2800","1,279.5500","1,293.8700"
08-Jan-2019,"1,284.8500",,-3.7800,-0.2933%,"1,288.6300","1,278.7000","1,290.1899"
07-Jan-2019,"1,288.6300",,+3.8000,+0.2958%,"1,285.7400","1,282.2500","1,295.1000"
04-Jan-2019,"1,284.8300",,-8.7800,-0.6787%,"1,293.9700","1,276.4000","1,298.4200"
03-Jan-2019,"1,293.6100",,+8.8700,+0.6904%,"1,284.7400","1,283.7700","1,294.8800"
02-Jan-2019,"1,284.7400",,,,"1,281.5900","1,278.3000","1,288.6600"