Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
02-Jan-2019,136.220000,,,130.590000,130.050000,138.420000,"3,221,669","436,735,111.045000"
03-Jan-2019,127.990000,-8.230000,-6.041697%,133.400000,127.700000,135.040000,"4,713,545","610,379,384.140000"
04-Jan-2019,136.190000,+8.200000,+6.406751%,130.790000,129.700000,137.720000,"4,380,141","590,060,870.190000"
07-Jan-2019,143.400000,+7.210000,+5.294074%,138.520000,136.450000,144.880000,"4,740,883","673,374,307.035000"
08-Jan-2019,139.830000,-3.570000,-2.489540%,146.690000,136.910000,146.780000,"5,428,393","760,384,146.210000"
09-Jan-2019,142.580000,+2.750000,+1.966674%,141.750000,139.900000,144.470000,"4,164,017","592,314,497.205000"
10-Jan-2019,145.230000,+2.650000,+1.858606%,141.780000,139.430000,145.570000,"3,465,979","498,053,191.175000"
11-Jan-2019,148.830000,+3.600000,+2.478827%,144.030000,143.250000,149.750000,"5,072,579","748,874,671.625000"
14-Jan-2019,150.440000,+1.610000,+1.081771%,146.750000,145.820000,151.460000,"4,759,433","712,442,610.905000"
15-Jan-2019,149.870000,-0.570000,-0.378889%,151.810000,149.130000,153.350000,"4,332,343","654,136,035.130000"
16-Jan-2019,148.840000,-1.030000,-0.687262%,150.900000,148.630000,152.290000,"3,443,706","516,441,433.505000"
17-Jan-2019,151.720000,+2.880000,+1.934964%,147.290000,146.450000,153.310000,"3,288,631","493,735,460.720000"
18-Jan-2019,156.930000,+5.210000,+3.433957%,153.850000,151.680000,157.980000,"4,531,222","705,387,853.415000"
22-Jan-2019,148.770000,-8.160000,-5.199771%,155.950000,147.560000,156.140000,"4,881,935","734,462,855.160000"
23-Jan-2019,149.290000,+0.520000,+0.349533%,151.000000,148.030000,154.580000,"3,977,185","598,471,952.345000"
24-Jan-2019,157.840000,+8.550000,+5.727108%,152.710000,152.580000,158.530000,"4,877,726","764,190,761.780000"
25-Jan-2019,160.150000,+2.310000,+1.463507%,155.360000,151.310000,160.880000,"6,438,702","1,009,157,692.975000"
28-Jan-2019,138.010000,-22.140000,-13.824539%,136.500000,131.000000,141.590000,"17,205,388","2,356,614,110.170000"
29-Jan-2019,131.600000,-6.410000,-4.644591%,136.150000,131.010000,138.100000,"8,264,153","1,104,344,307.640000"
30-Jan-2019,137.390000,+5.790000,+4.399696%,134.800000,131.460000,137.970000,"6,281,236","848,784,007.685000"
31-Jan-2019,143.750000,+6.360000,+4.629158%,137.260000,136.400000,145.180000,"5,653,952","805,486,719.915000"
01-Feb-2019,144.730000,+0.980000,+0.681739%,144.500000,142.580000,146.770000,"3,692,896","535,728,087.325000"
04-Feb-2019,149.180000,+4.450000,+3.074691%,145.370000,144.500000,150.660000,"3,348,071","497,816,142.265000"
05-Feb-2019,149.950000,+0.770000,+0.516155%,149.660000,148.300000,151.400000,"3,187,857","477,362,603.505000"
06-Feb-2019,153.000000,+3.050000,+2.034011%,151.290000,151.070000,155.600000,"4,565,016","700,208,101.690000"
07-Feb-2019,147.420000,-5.580000,-3.647059%,151.200000,145.700000,151.200000,"3,919,624","579,583,829.745000"
08-Feb-2019,148.170000,+0.750000,+0.508751%,144.710000,144.140000,148.590000,"3,170,772","464,039,092.385000"
11-Feb-2019,146.450000,-1.720000,-1.160829%,146.390000,144.500000,148.580000,"3,817,440","559,355,199.895000"
12-Feb-2019,151.170000,+4.720000,+3.222943%,147.890000,147.420000,151.795000,"3,661,190","550,493,639.305000"
13-Feb-2019,152.880000,+1.710000,+1.131177%,152.360000,151.870000,155.820000,"3,673,370","564,204,150.165000"
14-Feb-2019,154.530000,+1.650000,+1.079278%,152.730000,151.170000,155.650000,"5,431,975","853,203,271.720000"
15-Feb-2019,157.340000,+2.810000,+1.818417%,163.000000,156.430000,163.860000,"7,814,390","1,244,587,536.175000"
19-Feb-2019,156.640000,-0.700000,-0.444896%,156.910000,156.220000,159.850000,"2,951,769","466,755,084.365000"
20-Feb-2019,158.550000,+1.910000,+1.219356%,157.820000,157.400000,161.260000,"3,000,540","478,318,744.335000"
21-Feb-2019,155.770000,-2.780000,-1.753390%,159.060000,155.180000,160.050000,"2,603,108","408,560,255.660000"
22-Feb-2019,159.190000,+3.420000,+2.195545%,157.860000,157.380000,159.950000,"2,521,707","400,835,370.890000"
25-Feb-2019,158.690000,-0.500000,-0.314090%,162.560000,158.350000,165.280000,"3,822,610","616,207,387.595000"
26-Feb-2019,157.100000,-1.590000,-1.001953%,158.500000,155.750000,160.730000,"3,342,631","527,204,686.090000"
27-Feb-2019,155.410000,-1.690000,-1.075748%,156.520000,153.140000,157.530000,"2,775,860","431,744,413.445000"
28-Feb-2019,154.260000,-1.150000,-0.739978%,155.000000,153.360000,155.800000,"2,337,790","361,168,415.410000"
01-Mar-2019,156.450000,+2.190000,+1.419681%,156.270000,153.920000,158.120000,"2,106,221","329,408,132.235000"
04-Mar-2019,156.780000,+0.330000,+0.210930%,158.000000,154.500000,158.900000,"2,230,806","349,730,482.535000"
05-Mar-2019,156.520000,-0.260000,-0.165837%,156.150000,153.980000,158.050000,"2,145,376","335,565,535.320000"
06-Mar-2019,152.050000,-4.470000,-2.855865%,156.160000,151.950000,156.490000,"2,395,563","367,678,139.215000"
07-Mar-2019,149.260000,-2.790000,-1.834923%,151.000000,147.430000,151.440000,"2,525,403","377,343,139.040000"
08-Mar-2019,150.640000,+1.380000,+0.924561%,145.660000,144.800000,151.050000,"2,525,216","376,169,680.780000"
11-Mar-2019,161.140000,+10.500000,+6.970260%,151.590000,149.770000,162.040000,"4,568,574","724,960,808.430000"
12-Mar-2019,162.520000,+1.380000,+0.856398%,162.200000,159.210000,164.380000,"3,323,609","539,834,966.350000"
13-Mar-2019,168.620000,+6.100000,+3.753384%,164.030000,163.750000,169.800000,"4,274,121","717,571,194.260000"
14-Mar-2019,165.560000,-3.060000,-1.814731%,168.960000,165.250000,169.450000,"3,368,417","562,254,751.145000"
15-Mar-2019,169.810000,+4.250000,+2.567045%,167.530000,167.400000,171.500000,"4,754,721","806,355,755.395000"
18-Mar-2019,168.950000,-0.860000,-0.506448%,171.080000,167.860000,173.250000,"2,713,167","461,463,383.690000"
19-Mar-2019,175.710000,+6.760000,+4.001184%,172.870000,172.100000,177.500000,"4,696,333","824,137,234.330000"
20-Mar-2019,174.400000,-1.310000,-0.745547%,177.000000,173.020000,179.020000,"4,260,881","746,880,762.705000"
21-Mar-2019,183.940000,+9.540000,+5.470183%,175.210000,175.210000,185.000000,"4,883,325","887,096,465.190000"
22-Mar-2019,177.500000,-6.440000,-3.501142%,182.840000,176.980000,184.750000,"4,015,579","720,536,986.470000"
25-Mar-2019,173.780000,-3.720000,-2.095775%,175.860000,171.120000,178.450000,"3,383,259","587,588,845.365000"
26-Mar-2019,176.870000,+3.090000,+1.778110%,179.580000,174.600000,181.750000,"3,659,151","651,779,835.875000"
27-Mar-2019,176.500000,-0.370000,-0.209193%,177.910000,173.710000,179.760000,"2,941,354","518,065,366.685000"
28-Mar-2019,177.250000,+0.750000,+0.424929%,177.680000,175.110000,179.900000,"2,437,980","432,771,647.215000"
29-Mar-2019,179.560000,+2.310000,+1.303244%,179.900000,177.910000,180.520000,"2,724,403","488,298,588.485000"
01-Apr-2019,182.280000,+2.720000,+1.514814%,183.060000,180.380000,183.490000,"2,883,197","525,207,151.795000"
02-Apr-2019,183.000000,+0.720000,+0.394997%,183.210000,181.550000,184.760000,"2,456,964","449,699,241.175000"
03-Apr-2019,188.620000,+5.620000,+3.071038%,185.000000,184.830000,191.000000,"4,836,716","912,350,108.865000"
04-Apr-2019,188.260000,-0.360000,-0.190860%,187.800000,185.750000,189.940000,"2,651,390","498,157,678.075000"
05-Apr-2019,190.950000,+2.690000,+1.428875%,190.000000,188.530000,191.650000,"2,356,126","448,926,225.360000"
08-Apr-2019,191.790000,+0.840000,+0.439906%,189.720000,188.790000,192.750000,"2,238,155","427,186,066.970000"
09-Apr-2019,189.260000,-2.530000,-1.319151%,190.370000,187.570000,190.810000,"2,576,060","487,090,673.860000"
10-Apr-2019,192.100000,+2.840000,+1.500581%,189.230000,189.060000,193.110000,"2,670,862","511,896,981.480000"
11-Apr-2019,191.540000,-0.560000,-0.291515%,192.100000,189.550000,193.450000,"2,214,497","424,149,125.635000"
12-Apr-2019,190.010000,-1.530000,-0.798789%,193.000000,189.660000,193.100000,"2,286,489","436,362,113.105000"
15-Apr-2019,184.700000,-5.310000,-2.794590%,189.790000,183.130000,189.900000,"3,063,483","567,235,743.880000"
16-Apr-2019,188.210000,+3.510000,+1.900379%,186.280000,184.970000,188.970000,"2,697,708","506,041,835.130000"
17-Apr-2019,187.290000,-0.920000,-0.488816%,189.730000,186.410000,190.450000,"2,035,153","382,816,105.685000"
18-Apr-2019,186.300000,-0.990000,-0.528592%,187.560000,185.200000,188.930000,"2,602,029","485,678,555.135000"
22-Apr-2019,188.470000,+2.170000,+1.164788%,185.350000,184.080000,189.080000,"1,883,815","353,283,706.430000"
23-Apr-2019,190.670000,+2.200000,+1.167295%,189.000000,188.680000,191.930000,"2,220,398","423,750,121.335000"
24-Apr-2019,191.170000,+0.500000,+0.262233%,191.010000,188.700000,192.810000,"2,383,850","455,638,168.760000"
25-Apr-2019,186.910000,-4.260000,-2.228383%,189.530000,183.700000,190.400000,"3,532,788","659,245,088.860000"
26-Apr-2019,178.090000,-8.820000,-4.718849%,180.820000,173.330000,180.820000,"5,447,365","964,728,078.130000"
29-Apr-2019,179.330000,+1.240000,+0.696277%,178.410000,175.500000,180.440000,"2,185,835","390,767,675.530000"
30-Apr-2019,181.000000,+1.670000,+0.931244%,178.030000,177.380000,182.020000,"2,781,314","501,908,055.960000"
01-May-2019,180.470000,-0.530000,-0.292818%,183.330000,180.460000,184.800000,"2,315,620","422,676,413.955000"
02-May-2019,183.190000,+2.720000,+1.507176%,180.860000,179.200000,184.870000,"2,766,644","505,165,474.410000"
03-May-2019,183.010000,-0.180000,-0.098259%,183.530000,180.530000,183.930000,"2,411,706","440,355,954.550000"
06-May-2019,179.850000,-3.160000,-1.726682%,175.500000,174.000000,180.340000,"2,857,171","508,391,656.850000"
07-May-2019,173.110000,-6.740000,-3.747567%,177.700000,171.180000,177.700000,"4,030,812","701,168,522.350000"
08-May-2019,173.920000,+0.810000,+0.467911%,172.040000,171.580000,177.140000,"2,879,744","503,919,527.340000"
09-May-2019,170.190000,-3.730000,-2.144664%,171.140000,165.400000,171.500000,"3,951,458","667,680,382.420000"
10-May-2019,168.820000,-1.370000,-0.804983%,169.000000,164.000000,171.580000,"3,734,541","626,740,428.545000"
13-May-2019,158.450000,-10.370000,-6.142637%,163.660000,157.810000,164.430000,"5,072,042","814,644,666.675000"
14-May-2019,162.040000,+3.590000,+2.265699%,160.050000,158.500000,163.460000,"3,640,454","588,224,210.735000"
15-May-2019,159.580000,-2.460000,-1.518144%,160.250000,157.410000,161.050000,"3,660,373","585,012,223.370000"
16-May-2019,160.190000,+0.610000,+0.382253%,159.440000,157.660000,161.890000,"4,551,546","735,685,514.040000"
17-May-2019,156.530000,-3.660000,-2.284787%,158.500000,154.940000,163.700000,"6,573,562","1,045,601,313.685000"
20-May-2019,151.750000,-4.780000,-3.053728%,152.550000,150.760000,154.760000,"3,925,760","598,465,014.630000"
21-May-2019,155.060000,+3.310000,+2.181219%,154.220000,152.650000,155.690000,"2,307,992","356,887,394.500000"
22-May-2019,152.200000,-2.860000,-1.844447%,153.300000,151.770000,154.530000,"2,059,047","314,447,610.930000"
23-May-2019,147.320000,-4.880000,-3.206307%,149.690000,144.920000,149.690000,"3,825,015","561,773,893.765000"
24-May-2019,145.150000,-2.170000,-1.472984%,148.080000,144.890000,149.500000,"2,313,242","338,889,913.255000"
28-May-2019,143.330000,-1.820000,-1.253875%,145.860000,143.250000,147.180000,"2,845,798","410,823,951.040000"
29-May-2019,140.340000,-2.990000,-2.086095%,141.410000,138.940000,142.820000,"3,494,306","491,303,572.285000"
30-May-2019,139.110000,-1.230000,-0.876443%,140.310000,137.580000,141.740000,"2,398,195","334,701,768.570000"
31-May-2019,135.460000,-3.650000,-2.623823%,136.800000,135.400000,138.430000,"2,705,454","369,440,209.230000"
03-Jun-2019,133.780000,-1.680000,-1.240219%,135.910000,132.640000,137.470000,"3,389,098","456,405,725.930000"
04-Jun-2019,143.000000,+9.220000,+6.891912%,136.450000,135.500000,143.210000,"3,959,212","557,385,828.410000"
05-Jun-2019,141.280000,-1.720000,-1.202797%,145.970000,139.820000,146.180000,"3,566,860","505,361,124.270000"
06-Jun-2019,143.780000,+2.500000,+1.769536%,141.450000,141.350000,144.760000,"2,862,870","409,712,223.615000"
07-Jun-2019,145.500000,+1.720000,+1.196272%,144.020000,143.310000,146.880000,"2,177,419","316,948,294.695000"
10-Jun-2019,148.430000,+2.930000,+2.013746%,148.040000,148.010000,151.190000,"2,818,563","420,987,045.120000"
11-Jun-2019,150.750000,+2.320000,+1.563026%,150.890000,149.190000,152.350000,"2,441,518","368,110,262.435000"
12-Jun-2019,146.200000,-4.550000,-3.018242%,149.000000,145.600000,149.120000,"2,320,795","340,591,089.125000"
13-Jun-2019,148.260000,+2.060000,+1.409029%,147.090000,146.390000,149.000000,"1,945,890","287,604,673.535000"
14-Jun-2019,144.640000,-3.620000,-2.441657%,144.700000,142.850000,145.440000,"2,572,584","370,934,753.130000"
17-Jun-2019,145.030000,+0.390000,+0.269635%,144.570000,143.715000,146.500000,"1,855,252","269,836,932.120000"
18-Jun-2019,152.880000,+7.850000,+5.412673%,147.450000,147.090000,155.100000,"3,837,021","586,417,711.895000"
19-Jun-2019,153.120000,+0.240000,+0.156986%,154.290000,152.100000,154.750000,"2,410,811","369,174,884.700000"
20-Jun-2019,154.100000,+0.980000,+0.640021%,156.770000,153.530000,157.330000,"2,271,537","351,992,097.745000"
21-Jun-2019,151.760000,-2.340000,-1.518494%,153.630000,151.500000,155.480000,"3,985,768","608,394,127.040000"
24-Jun-2019,152.660000,+0.900000,+0.593042%,152.720000,150.750000,153.840000,"1,736,015","265,051,880.475000"
25-Jun-2019,151.480000,-1.180000,-0.772960%,152.960000,151.390000,155.880000,"1,734,031","265,841,728.590000"
26-Jun-2019,159.260000,+7.780000,+5.135992%,156.680000,156.180000,161.700000,"3,897,407","622,052,087.270000"
27-Jun-2019,163.230000,+3.970000,+2.492779%,162.590000,161.300000,164.000000,"2,755,256","448,937,081.320000"
28-Jun-2019,164.230000,+1.000000,+0.612632%,165.000000,162.350000,165.350000,"2,868,363","470,726,941.990000"
01-Jul-2019,166.170000,+1.940000,+1.181270%,172.660000,164.660000,173.950000,"4,213,929","709,043,143.100000"
02-Jul-2019,162.230000,-3.940000,-2.371066%,165.500000,161.710000,166.340000,"2,288,205","373,869,303.340000"
03-Jul-2019,162.750000,+0.520000,+0.320533%,163.180000,160.380000,163.380000,"1,618,418","262,193,570.875000"
05-Jul-2019,160.230000,-2.520000,-1.548387%,160.400000,157.700000,160.575000,"2,481,548","395,944,034.335000"
08-Jul-2019,157.210000,-3.020000,-1.884791%,157.830000,156.000000,158.530000,"2,245,311","352,854,562.280000"
09-Jul-2019,157.310000,+0.100000,+0.063609%,155.450000,155.000000,158.420000,"2,117,811","332,395,983.460000"
10-Jul-2019,160.060000,+2.750000,+1.748141%,159.060000,158.510000,162.310000,"2,709,016","434,349,510.035000"
11-Jul-2019,166.280000,+6.220000,+3.886043%,163.000000,161.510000,167.920000,"4,281,727","707,913,253.645000"
12-Jul-2019,167.610000,+1.330000,+0.799856%,167.400000,167.400000,170.460000,"3,237,970","545,578,863.870000"
15-Jul-2019,167.270000,-0.340000,-0.202852%,168.460000,166.150000,169.100000,"1,991,890","332,994,379.265000"
16-Jul-2019,167.080000,-0.190000,-0.113589%,166.670000,164.850000,168.150000,"2,200,969","367,072,156.835000"
17-Jul-2019,169.710000,+2.630000,+1.574096%,167.000000,166.000000,169.970000,"2,430,270","410,778,292.515000"
18-Jul-2019,170.180000,+0.470000,+0.276943%,170.060000,167.870000,172.680000,"2,513,775","427,263,950.565000"
19-Jul-2019,168.440000,-1.740000,-1.022447%,171.720000,168.230000,171.980000,"2,836,134","482,338,060.435000"
22-Jul-2019,171.320000,+2.880000,+1.709808%,169.500000,169.020000,171.840000,"2,141,673","365,724,397.065000"
23-Jul-2019,175.660000,+4.340000,+2.533271%,173.030000,172.300000,175.740000,"3,087,542","538,365,279.110000"
